Kategori,Gejala
a,Gigi sensitif
a,gigi berlubang
a,"timbul bercak putih, cokelat, dan kehitaman pada gigi"
a,muncul nyeri saat makan
a,timbul bercak putih pada gigi
a,timbul bercak cokelat pada gigi
a,timbu bercak kehitaman pada gigi
a,"Pertama, faktor bentuk gigi. Gigi anak tidak semuanya rata, pasti ada celah buat penumpukan bakteri penyebab grigis di gigi. Alhasil gigi geraham sering banget jadi sasaran empuk karies"
a,"Kedua, bisa disebabin dari faktor jumlah saliva atau air ludah. Semakin sedikit saliva semakin gede juga kemungkinan si kecil KENA karies gigi"
a,ternyata faktor waktu itu juga berpengaruh. Karies lubang terbentuk biasanya kalo udah didiemin lama ya. Sementara kalo jangka waktu cepeet bakal nimbulin karies rampan atau kalo kita lihat lebih ke warna coklat dan mulai mengikis gigi
a,Dok gigi bolong karena karies bisa dijaga supaya ga makin menjadi ga sih? Gigiku rontok satu persatu karena karies.
a,Telat mencabut gigi bungsu itu bisa memicu penumpukan makanan di sela kedua gigi yang berakibat membuat karies (lubang) yang dalam sehingga malah harus dicabut keduanya
a,Penyebab utama karies gigi adalah asid yang terhasil dari tindakbalas antara gula& bakteria dlm mulut. Asid tersebut melarutkan struktur gigi perlahan2 & berulang2 hingga terbentuk lubang
a,Karies gigi terutama timbul akibat kurang menjaga kebersihan gigi. Sisa makanan yang bertahan cukup lama di gigi akan diubah menjadi asam oleh bakteri alami mulut. Zat asam kemudian akan memicu kerusakan gigi.
a,karies gigi bisa menular lewat droplet air liur yang membawa bakteri Streptococcus mutans. Droplet air liur bisa sampai ke anak biasanya lewat penggunaan alat makan bergantian semisal orang tua dan anak makan sepiring bersama dan dengan sendok yang sama
a,ada seperti noda hitam tapi berada didalam gigi
a,gigi bawah bagian tengah mengalami renggang
a,timbulnya noda pada gigi yang menyebabkan perubahan warna
a,gigi sedikit demi sedikit terkikis dan akhirnya berlubang atau bahkan lepas
a,ada gigi bungsu yang terhimpit
a,ada warna kehitaman dalam gigi saya
a,gigiku mulai banyak yang rontok
a,ada yang bolong pada gigiku
a,gigiku bolong
a,Gusi yang turun membuat gigi terlihat lebih panjang
a,Gusi meradang
a,Gigi yang berlubang terasa sakit bila masuk makanan
a,Bentuk gusi agak membulat/tumpul
a,gusi saya mulai tipis dan gigi keliatan tidak normal
a,gigiku makin hari rasanya makin tipis
a,gusi aku bengkak gede
a,gigi aku yang bawah bagian tengahnya renggang
a,bolong nih gigiku
a,Area gigiku ada yang rusak permanen dan berkembang menjadi lubang kecil.
a,gigi saya bolong 
a,ada bolong di gigiku
a,ada lubang pada gigiku
a,gigiku berlubang
a,gigiku mengalami cavities
a,pembusukan pada gigiku
a,Sakit gigi yang muncul secara tiba-tiba tanpa sebab jelas.
a,ada noda coklat di permukaan gigi
a,ada noda hitam di permukaan gigi
a,ada rasa tidak enak di mulut
a,di permukaan gigiku terdapat noda berwana
a,Gigi berlubang atau karies gigi merupakan kondisi kerusakan pada bagian terluar (enamel) dan terdalam (dentin) gigi
a,rasa tidak enak di dalam mulut
,
b,Terdapat lapisan kotoran yang mengeras berwarna kuning atau kecoklatan di garis gusi
b,Rasa kasar di permukaan gigi
b,Bau mulut
b,Pembengkakan serta kemerahan di gusi
b,Gejala awal adanya karang gigi hanya gusi berdarah dan kadang terasa seperti gusi yg gatal
b,kalo ada kaya kerak warna coklat di gigi tuh kenapa ya? udah coba pake mouthwash ga ilang
b,"selama ini gigi kerasa kasar terus juga gusi bengkak kirain bakalan fine aja 
karena udah di obatin, eh taunya jadi karang gigi"
b,Plak atau lapisan kotoran yang menempel
b,Plak atau lapisan kotoran mengeras
b,gigi berubah warna karena adanya pengelompokan plak
b,muncul lapisan tipis dan lengket  pada garis gusi yang disebabkan oleh bakteri atau sisa makanan
b,muncul plak berwarna putih kekuningan
b,rasa nyeri yang intens dan tajam
b,mulutku berbau busuk
b,ada suatu lapisan yang menempel pada gigiku
b,ketika aku mencoba meraba bagian gigi dengan lidah dan merasakan seperti ada lapisan antara gigi dengan air liur
b,muncul lapisan yang mengeras diatas gusi
b,gigiku terasa kasar
b,"Mengonsumsi makanan atau minuman dengan kadar gula yang tinggi, seperti permen, kue, atau minuman bersoda"
b,dekat gusi ada sesuatu berwarna kuning
b,ada sesuatu yang menempel diantara gigi dan gusi
b,bau nafas yang menyengat
b,ada lapisan kekuningan yang menepel pada gigi
b,ada lapisan kecoklatan yang menepel pada gigi
b,digigiku terdapat lapisan yang mengeras
b,ada yang mengganjal didaerah gusi dan gigi
b,seperti ada kotoran yang menumpuk
b,Kemunculan PLAK di gigi
b,ada plak nih di gigiku
b,gigiku mengalami perubahan warna ke kuning kecoklatan
b,ada lapisan kasar dan keras di garis gusi saya
b,di gusiku ada lapisan keras berwarna coklat 
b,garis gusi dan gigi terasa mengganjal
b,muncul plak yang terbentuk ketika bakteri di mulut bercampur dengan makanan manis atau bertepung
b,"terjadi pengerasan pada gigi bagian dalam, tepatnya di garis pemisah antara gusi dan gigi"
b,ini termasuk Dental calculus
b,Kadar PH pada air liur menjadi tinggi
b,Kadar PH pada air ludah menjadi tinggi
b,serasa ada yang mengganjal pada bagian gusi dan gigi
